id,durationinseconds,recordeddate,responseid,consent,religion,religion_do,imm_1,imm_2,leaver,outcome_control,outcome_treat,fl_5_do,basics_do,treatment,missing,outcome,support2,id2,session_id,age,countryofbirth,currentcountryofresidence,currentukareaofresidence,employmentstatus,ethnicitysimplified,genderidentity,highesteducationlevelcompleted,householdsize,nationality,personalincomegbp,politicalaffiliationuk,relationshipmaritalstatus,religiousaffiliation,sex,sexualorientation,ukgeneralelection2019,brexit,gender,queer,trans,ideology,ed,degree,region,voterecall,income,race,civilstat,relig,student,nonwhite,agecat,imm1mean,immbelow,imm3,fourarm,religmed,support
372,74,11/11/2021 9:29,R_1NCDF0g8v8cIEOh,1,1,5|4|3|2|1|0|9999,10,10,0,0,,ControlText,imm|religion|leaver,0,0,0,Supports LGBT+ education,1,618e8fc3c7b73eb57e07f71b,25,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,White,Male,Undergraduate degree (BA/BSc/other),6,United Kingdom,"Less than Â£10,000 ",Left,Single,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Male,heterosexual,Labour Party,Remain,Man,Heterosexual,0,Left,Undergraduate degree (BA/BSc/other),1,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Labour,0,White,Single,Non-religious,1,0,25-34,6.081356,0,2,Pro-Immigration+Control,0,1
1009,152,11/11/2021 11:15,R_1pRUTRJLOBZ1rPE,1,0,5|4|3|2|1|0|9999,10,8,0,,0,Treatment,imm|leaver|religion,1,0,0,Supports LGBT+ education,2,618e90191a8159a873030e06,25,United Kingdom,United Kingdom,"London, England ",Full-Time,White,Male,Undergraduate degree (BA/BSc/other),5,United Kingdom,"Â£40,000 - Â£49,999",Centre,Engaged,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Male,heterosexual,Conservatives,Leave,Man,Heterosexual,0,Centre,Undergraduate degree (BA/BSc/other),1,"London, England ",Cons,4,White,Engaged,Non-religious,0,0,25-34,6.081356,0,2,Pro-immigration+Treatment,0,1
202,59,11/11/2021 11:20,R_3HUG5udMSsqujiW,1,1,5|4|3|2|1|0|9999,10,10,0,,0,Treatment,leaver|imm|religion,1,0,0,Supports LGBT+ education,3,618e65ae954bf8b15c81cd13,34,United Kingdom,United Kingdom,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Part-Time,White,Male,Graduate degree (MA/MSc/MPhil/other),2,United Kingdom,"Â£10,000 - Â£19,999",Left,In a relationship,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Male,heterosexual,Labour Party,Remain,Man,Heterosexual,0,Left,Graduate degree (MA/MSc/MPhil/other),1,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Labour,1,White,Relationship,Non-religious,0,0,25-34,6.081356,0,2,Pro-immigration+Treatment,0,1
971,140,11/11/2021 11:22,R_27HHg1cXmXetJGq,1,1,0|1|2|3|4|5|9999,7,5,9999,3,,ControlText,religion|leaver|imm,0,0,3,Supports LGBT+ education,4,618e49dacb53cf8034e02a12,31,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,White,Male,Undergraduate degree (BA/BSc/other),2,United Kingdom,"Â£20,000 - Â£29,999",Left,Engaged,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Male,heterosexual,Labour Party,Remain,Man,Heterosexual,0,Left,Undergraduate degree (BA/BSc/other),1,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Labour,2,White,Engaged,Non-religious,0,0,25-34,6.081356,0,2,Pro-Immigration+Control,0,1
82,47,11/11/2021 11:29,R_1qWoOJuqKfzGN8I,1,0,5|4|3|2|1|0|9999,9,8,0,,0,Treatment,religion|imm|leaver,1,0,0,Supports LGBT+ education,5,618e915a440b8eadb2dbd031,32,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,White,Male,Undergraduate degree (BA/BSc/other),2,United Kingdom,"Â£30,000 - Â£39,999",Centre,Single,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Male,homosexual,Labour Party,Remain,Man,Not heterosexual,0,Centre,Undergraduate degree (BA/BSc/other),1,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Labour,3,White,Single,Christian,0,0,25-34,6.081356,0,2,Pro-immigration+Treatment,0,1
977,141,11/11/2021 11:43,R_3pgswILoJcw95kt,1,0,5|4|3|2|1|0|9999,10,10,9999,0,,ControlText,leaver|imm|religion,0,0,0,Supports LGBT+ education,6,618e9142a1c77a599b11e261,29,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,White,Male,Undergraduate degree (BA/BSc/other),3,United Kingdom,"Â£30,000 - Â£39,999",Left,In a relationship,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Male,heterosexual,Labour Party,Remain,Man,Heterosexual,0,Left,Undergraduate degree (BA/BSc/other),1,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Labour,3,White,Relationship,Christian,0,0,25-34,6.081356,0,2,Pro-Immigration+Control,0,1
339,72,11/11/2021 11:53,R_XTeL7jsEZeNMmVX,1,1,5|4|3|2|1|0|9999,10,10,0,,0,Treatment,leaver|religion|imm,1,0,0,Supports LGBT+ education,7,618e91abadb2e9995b0b43da,33,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Full-Time,White,Male,Undergraduate degree (BA/BSc/other),4,United Kingdom,"Â£40,000 - Â£49,999",Centre,Married,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Male,heterosexual,Labour Party,Remain,Man,Heterosexual,0,Centre,Undergraduate degree (BA/BSc/other),1,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Labour,4,White,Married,Non-religious,0,0,25-34,6.081356,0,2,Pro-immigration+Treatment,0,1
37,39,11/11/2021 11:53,R_2Pi06SUF3RGuRKN,1,0,0|1|2|3|4|5|9999,10,10,0,0,,ControlText,leaver|imm|religion,0,0,0,Supports LGBT+ education,8,618e91f305a409952a48d6fd,25,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Part-Time,White,Male,Undergraduate degree (BA/BSc/other),2,United Kingdom,"Less than Â£10,000 ",Centre,In a relationship,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Male,heterosexual,Labour Party,Remain,Man,Heterosexual,0,Centre,Undergraduate degree (BA/BSc/other),1,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Labour,0,White,Relationship,Non-religious,1,0,25-34,6.081356,0,2,Pro-Immigration+Control,0,1
149,55,11/11/2021 11:55,R_wL9YbiU1ynoyue5,1,0,0|1|2|3|4|5|9999,10,10,0,0,,ControlText,leaver|religion|imm,0,0,0,Supports LGBT+ education,9,618e844a5a2b5c692f2df982,29,United Kingdom,United Kingdom,"London, England ",Full-Time,White,Male,Undergraduate degree (BA/BSc/other),2,United Kingdom,"Â£30,000 - Â£39,999",Left,In a relationship,Buddhism,Male,homosexual,Labour Party,Remain,Man,Not heterosexual,0,Left,Undergraduate degree (BA/BSc/other),1,"London, England ",Labour,3,White,Relationship,Other,0,0,25-34,6.081356,0,2,Pro-Immigration+Control,0,1
19,35,11/11/2021 11:56,R_s68RcW3LmmKpBHr,1,0,0|1|2|3|4|5|9999,7,7,9999,,10,Treatment,religion|leaver|imm,1,0,10,Opposes LGBT+ education,10,618e8599947e2612c046ef26,34,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Full-Time,White,Male,Graduate degree (MA/MSc/MPhil/other),1,United Kingdom,"Â£30,000 - Â£39,999",Centre,Married,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Male,heterosexual,Liberal Democrats,Remain,Man,Heterosexual,0,Centre,Graduate degree (MA/MSc/MPhil/other),1,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Other,3,White,Married,Non-religious,1,0,25-34,6.081356,0,2,Pro-immigration+Treatment,0,0
521,87,11/11/2021 12:00,R_3MrE3poR4HJrWnp,1,0,5|4|3|2|1|0|9999,10,9,0,0,,ControlText,religion|imm|leaver,0,0,0,Supports LGBT+ education,11,618e8597a10bbe4a1d377b7d,25,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Full-Time,White,Male,Undergraduate degree (BA/BSc/other),3,United Kingdom,"Â£20,000 - Â£29,999",Centre,In a relationship,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Male,heterosexual,I did not vote,I was eligible but did not vote,Man,Heterosexual,0,Centre,Undergraduate degree (BA/BSc/other),1,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Prefer not to say,2,White,Relationship,Non-religious,0,0,25-34,6.081356,0,2,Pro-Immigration+Control,0,1
88,48,11/11/2021 12:01,R_3Oeq2L7EtUdoyIH,1,2,5|4|3|2|1|0|9999,8,10,0,7,,ControlText,religion|imm|leaver,0,0,7,Opposes LGBT+ education,13,618d5d14ff093d7745d02991,24,United Kingdom,United Kingdom,"London, England ",Full-Time,Black,Female,Graduate degree (MA/MSc/MPhil/other),2,United Kingdom,Rather not say,Left,In a relationship,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Female,heterosexual,Labour Party,Remain,Woman,Heterosexual,0,Left,Graduate degree (MA/MSc/MPhil/other),1,"London, England ",Labour,1.6435921,Black,Relationship,Christian,0,1,18-24,6.081356,0,2,Pro-Immigration+Control,0,0
649,98,11/11/2021 12:02,R_1CDDlQw1aU7ZJO0,1,2,0|1|2|3|4|5|9999,9,6,0,,4,Treatment,imm|leaver|religion,1,0,4,Supports LGBT+ education,14,618d5eac0fdc29abd48c7449,21,United Kingdom,United Kingdom,"London, England ",Unemployed (and job seeking),White,Female,Undergraduate degree (BA/BSc/other),4,United Kingdom,"Less than Â£10,000 ",Left,In a relationship,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Female,homosexual,Labour Party,I was not eligible to vote,Woman,Not heterosexual,0,Left,Undergraduate degree (BA/BSc/other),1,"London, England ",Labour,0,White,Relationship,Non-religious,0,0,18-24,6.081356,0,2,Pro-immigration+Treatment,0,1
1096,183,11/11/2021 12:08,R_3nUYlArWd2hFHT6,1,1,0|1|2|3|4|5|9999,10,9,0,,0,Treatment,imm|leaver|religion,1,0,0,Supports LGBT+ education,15,618d5eba1cf31e32e35f556a,24,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,White,Female,Undergraduate degree (BA/BSc/other),2,United Kingdom,"Â£10,000 - Â£19,999",Centre,In a relationship,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Female,heterosexual,Liberal Democrats,Remain,Woman,Heterosexual,0,Centre,Undergraduate degree (BA/BSc/other),1,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Other,1,White,Relationship,Non-religious,0,0,18-24,6.081356,0,2,Pro-immigration+Treatment,0,1
23,36,11/11/2021 12:13,R_3PicN5nDWVidJmz,1,0,5|4|3|2|1|0|9999,10,10,9999,0,,ControlText,imm|leaver|religion,0,0,0,Supports LGBT+ education,16,618d60d843a123e48389c845,21,United Kingdom,United Kingdom,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Part-Time,White,Female,Undergraduate degree (BA/BSc/other),2,United Kingdom,"Less than Â£10,000 ",Left,In a relationship,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Female,bisexual,Labour Party,I was not eligible to vote,Woman,Not heterosexual,0,Left,Undergraduate degree (BA/BSc/other),1,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Labour,0,White,Relationship,Non-religious,1,0,18-24,6.081356,0,2,Pro-Immigration+Control,0,1
63,44,11/11/2021 12:14,R_elN5Cp1IfIfOPJv,1,1,0|1|2|3|4|5|9999,8,8,9999,,0,Treatment,leaver|imm|religion,1,0,0,Supports LGBT+ education,17,618d63d850761b8bc883d04c,19,United Kingdom,United Kingdom,Wales,Part-Time,White,Genderqueer/Gender Non Conforming,Undergraduate degree (BA/BSc/other),2,United Kingdom,"Less than Â£10,000 ",Left,In a relationship,Paganism,Female,other,I did not vote,I was not eligible to vote,Woman,Not heterosexual,1,Left,Undergraduate degree (BA/BSc/other),1,Wales,Prefer not to say,0,White,Relationship,Other,1,0,18-24,6.081356,0,2,Pro-immigration+Treatment,0,1
325,70,11/11/2021 12:16,R_cZI5FmiY27CM7fP,1,1,5|4|3|2|1|0|9999,5,7,1,0,,ControlText,religion|leaver|imm,0,0,0,Supports LGBT+ education,18,618d6644349c41c53d1b7e45,23,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Due to start a new job within the next month,Asian,Female,Undergraduate degree (BA/BSc/other),7,United Kingdom,"Â£10,000 - Â£19,999",Left,Single,Sikhism,Female,homosexual,Labour Party,I was not eligible to vote,Woman,Not heterosexual,0,Left,Undergraduate degree (BA/BSc/other),1,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Labour,1,Asian,Single,Other,0,1,18-24,6.081356,1,1,Anti-Immigration+Control,0,1
